,Time Period,Total Social Welfare (R/kwh)
0,0,0.6606999191220696
1,1,0.6503965964644892
2,2,0.5790983056448716
3,3,0.5664986935670975
4,4,0.4910476233868143
5,5,0.5955079702006622
6,6,1.3838029968929477
7,7,1.5432082068160828
8,8,1.1118348676721947
9,9,1.402162424968449
10,10,1.4504935004773643
11,11,1.513862116309068
12,12,1.4227556676963213
13,13,1.3878815336819452
14,14,1.515004509169684
15,15,0.7296462318756071
16,16,0.03930308357351639
17,17,0.14041359439279458
18,18,-0.18698839937976186
19,19,-0.05941037097139884
20,20,-0.015784448817188573
21,21,0.20466581253650235
22,22,-0.004299203720377266
23,23,0.09045401555039861
