,Time Period,Total Social Welfare (R/kwh)
0,0,0.19312212022816092
1,1,0.5529807167545633
2,2,0.5534920979267066
3,3,0.7082056745395602
4,4,0.6334485450220569
5,5,0.8366126419239295
6,6,1.7153367486363635
7,7,1.5081527939341812
8,8,1.4365686511042368
9,9,0.6430015347238428
10,10,1.6537880323418594
11,11,1.6434920009539509
12,12,1.8688617158258896
13,13,1.4733748808082103
14,14,0.8378833260515397
15,15,0.642203379078703
16,16,0.2817903123238029
17,17,-0.013916648067282378
18,18,-0.37233148074525524
19,19,-0.21472765013730277
20,20,-0.4436015221245637
21,21,0.22225161713245306
22,22,0.14637893913678435
23,23,-0.002162946068664868
