,Time Period,Total Social Welfare (R/kwh)
0,0,0.24244238918075905
1,1,0.6290378554433783
2,2,0.6108019483515276
3,3,0.5979273193133479
4,4,0.6816696390521345
5,5,0.9088728206182817
6,6,1.6250420738238178
7,7,1.6835828391855112
8,8,-0.10052016286701748
9,9,1.0629986708405277
10,10,1.6904844583795704
11,11,2.7331078798176454
12,12,3.2801038669565177
13,13,1.3346019056414717
14,14,0.9342004220363653
15,15,0.6247635296469788
16,16,0.34711317258893815
17,17,0.15720447799290044
18,18,-0.12360915489625798
19,19,-0.3401314933852426
20,20,-0.39963596073393254
21,21,0.025995044208649107
22,22,0.0028506426076856384
23,23,0.07883690441913865
