,Time Period,Total Social Welfare (R/kwh)
0,0,0.2155451236025899
1,1,0.2669476473781994
2,2,0.23014583608831457
3,3,0.4261687561712677
4,4,0.37494840803777113
5,5,0.3851233873616615
6,6,0.792579127452526
7,7,-0.013613723333630368
8,8,-0.08298307893345586
9,9,0.5038911313671723
10,10,0.49890609268959163
11,11,0.996672321924431
12,12,1.291130174753464
13,13,0.40722292721007136
14,14,0.24974233674503615
15,15,-0.622482826871857
16,16,-0.5422624287884632
17,17,0.324473432495896
18,18,-11.556027204553821
19,19,-20.125024177225082
20,20,-0.7889831953847986
21,21,0.008679629151801649
22,22,-0.29039187265689365
23,23,-0.09971849199241413
