,Time Period,Total Social Welfare (R/kwh)
0,0,0.32375874458572673
1,1,0.8529338812496547
2,2,0.7506046349834127
3,3,0.5543578789271035
4,4,0.7713176359710139
5,5,0.7567475704318354
6,6,1.7074112930708734
7,7,1.36718236075574
8,8,1.3528955148518385
9,9,1.3587122169718389
10,10,1.431442443634358
11,11,1.7391685002311918
12,12,2.5634743749589433
13,13,0.9714079974262426
14,14,0.6399874942751348
15,15,1.7939887683655389
16,16,0.20272356702178174
17,17,0.07096884679775387
18,18,-0.3250892627662622
19,19,-0.0917171157078378
20,20,-0.8197616632019467
21,21,0.14045006484003647
22,22,0.13892986887843922
23,23,0.062411603991935904
