,Time Period,Total Social Welfare (R/kwh)
0,0,0.15846949581826497
1,1,0.32622281003208087
2,2,0.372018840407123
3,3,0.2545191740698806
4,4,0.2741861874663318
5,5,0.47140670754572644
6,6,1.458666500720647
7,7,0.510267833815331
8,8,-3.4527166607032096
9,9,0.7854069301472167
10,10,0.7376442640695353
11,11,0.42806353996951085
12,12,0.47156728927610403
13,13,0.23584229337656082
14,14,0.21805471672311372
15,15,-0.03925464243515468
16,16,0.03356946713069872
17,17,-0.07352408475941244
18,18,-2.09504219361688
19,19,-1.0439412647159212
20,20,-1.1656992680616693
21,21,-0.4174496110619216
22,22,-0.31529869240506214
23,23,-0.08330258016388296
