,Time Period,Total Social Welfare (R/kwh)
0,0,0.7327960091784953
1,1,0.6744938456339766
2,2,0.5287354730456216
3,3,0.5533649883690201
4,4,0.4742676811057117
5,5,0.2688162444948917
6,6,0.5910981881458585
7,7,-1.7940503158821033
8,8,-0.6381096246406152
9,9,-0.28266351807886714
10,10,1.0258368929878485
11,11,1.055697286732469
12,12,0.657189949900313
13,13,0.50902351169198
14,14,-0.5779317187044093
15,15,-0.3535565881333628
16,16,0.02481020975395906
17,17,-0.20406432238119349
18,18,-2.068297585314424
19,19,-2.239026274256404
20,20,-1.6489419720311866
21,21,-0.5322388186484808
22,22,-0.10429636388680791
23,23,0.09094458835858255
