,Time Period,Total Social Welfare (R/kwh)
0,0,0.37665096450921304
1,1,0.7038777144748893
2,2,0.7370651497501143
3,3,0.5451739820314319
4,4,0.6767823135854997
5,5,0.9715578267135951
6,6,2.226222346642618
7,7,2.233458805811347
8,8,1.2486803303093121
9,9,1.8360156090405388
10,10,0.9808554172511303
11,11,1.5098556586799665
12,12,0.8296392083120383
13,13,0.4091590247259045
14,14,0.3430932103758978
15,15,0.39632713170150935
16,16,0.1780575690020021
17,17,0.13256469939480597
18,18,0.008443561276766196
19,19,-1.1068212597670217
20,20,-0.9065510661128485
21,21,1.3128578664492714
22,22,-0.025156879647744823
23,23,0.028739906478179887
