,Time Period,Total Social Welfare (R/kwh)
0,0,0.8758033804860981
1,1,0.7628641318974712
2,2,0.6793305215861011
3,3,0.6544045237209943
4,4,0.6028584837637869
5,5,0.9985836417644167
6,6,1.9309992690334765
7,7,1.7605868745818762
8,8,1.5116861996215565
9,9,1.4264405050002678
10,10,1.8013045678557982
11,11,1.7194514771472653
12,12,1.4595329178839527
13,13,1.3773368277053832
14,14,1.009684804956804
15,15,0.47062118264454866
16,16,0.3313639226289026
17,17,0.05586856646971358
18,18,-0.5373181408071774
19,19,-0.4656807037192665
20,20,-0.6450220243449742
21,21,0.15990317443101737
22,22,0.0764998536384282
23,23,0.036522741420138886
